,source_id,source_name,company_name,ultimate_parent_name,country,lat,lon,ultimate_parent_id,company_id,percent_interest_parent,percent_interest_company,percent_company_datasource,percent_parent_datasource,ultimate_parent_revenue_annual (mil),created_date
4931,3164625,Blackberry Coal Mine,TENNCO,TENNCO,USA,37.528889,-82.188611,100000132261,100000132261,100.0,100.0,{14240},{14240},148,49:34.1
4932,3164627,Blue Knob Surface Mine,White Forest Resources,White Forest Resources,USA,38.121667,-80.4825,100000132355,100000132355,100.0,100.0,{14241},{14241},267,49:34.1
4933,3164628,Blue Ridge Coal Mine,Blue Ridge Mining,Blue Ridge Mining,USA,40.772778,-76.566389,100000131404,100000131404,100.0,100.0,{14242},{14242},18,49:34.1
4934,3164629,Boone North No. 1 Surface Coal Mine,White Forest Resources,White Forest Resources,USA,38.204167,-81.707778,100000132355,100000132355,100.0,100.0,{14243},{14243},267,49:34.1
4935,16403,Boone North No. 2 Surface Coal Mine,White Forest Resources,White Forest Resources,USA,38.173016,-81.712943,100000132355,100000132355,100.0,100.0,{14244},{14244},267,49:34.0
4936,3164631,Bridger Underground Coal Mine,IDACORP,IDACORP,USA,41.82,-108.83,100000001235,100000001235,50.0,50.0,{14245},{14245},50,49:34.1
4937,3164631,Bridger Underground Coal Mine,MidAmerican Energy,Berkshire Hathaway,USA,41.82,-108.83,100000001155,100000003563,50.0,50.0,{14245},"{2192,3481,14245}",542,49:34.1
4938,3164632,Broad Mountain Slope Mine,Little Buck Coal,Little Buck Coal,USA,40.591944,-76.457222,100000131845,100000131845,100.0,100.0,{14246},{14246},338,49:34.1
4939,3164633,Brown Coal Mine,Amerikohl Mining,Amerikohl Mining,USA,40.409167,-78.6025,100000131257,100000131257,100.0,100.0,{14247},{14247},605,49:34.1
4940,3164634,Brownsville Coal Mine,Keystone Anthracite,Keystone Anthracite,USA,40.811944,-76.240278,100000131794,100000131794,100.0,100.0,{14248},{14248},46047,49:34.1
4941,3164635,Brush Valley Coal Mine,Rosebud Mining,Rosebud Mining,USA,40.530425,-79.107936,100000132142,100000132142,100.0,100.0,{14249},{14249},115,49:34.1
4942,3164636,Brushy Eagle Coal Mine,Marfork Coal,Alpha Metallurgical Resources,USA,37.917033,-81.483097,100000131246,100001010421,,100.0,{14250},"{6989,6990,6991,14250}",4139,49:34.1
4943,3164637,Bryants Store Mine,Ferroglobe,Ferroglobe,USA,36.775278,-83.92,100000131604,100000131604,100.0,100.0,{14251},{14251},10064,49:34.1
4944,16404,Buchanan #1 Coal Mine,Coronado Global Resources,Coronado Global Resources,USA,37.211246,-81.902729,100001000488,100001000488,100.0,100.0,{14252},{14252},2995,49:34.0
4945,3164639,Buck Run P-8 P-10 Mine,Reading Anthracite,Reading Anthracite,USA,40.715,-76.304167,100001000693,100001000693,100.0,100.0,{14253},{14253},2975,49:34.1
4946,3164640,Buckingham Underground Coal Mine,CCU Coal and Construction,CCU Coal and Construction,USA,39.586667,-82.065,100000131452,100000131452,100.0,100.0,{14254},{14254},687,49:34.1
4947,16405,Buckskin Coal Mine,Kiewit,Kiewit,USA,44.4742,-105.5395,100000131799,100000131799,100.0,100.0,{14255},{14255},3902,49:34.0
4948,3164642,Buffalo Deep Mine,Blackhawk Mining,Blackhawk Mining,USA,37.791389,-81.823889,100000131400,100000131400,100.0,100.0,{14256},{14256},812,49:34.1
4949,16406,Bull Mountains No. 1 Coal Mine,Global Mining Holding,Global Mining Holding,USA,46.272394,-108.424392,100000131630,100000131630,100.0,100.0,{14257},{14257},1780,49:34.0
4950,3164644,Burns Farm Coal Mine,Ben Hal Mining,Ben Hal Mining,USA,41.111111,-79.466944,100000131368,100000131368,100.0,100.0,{14258},{14258},502,49:34.1
4951,3164649,CAM Highwall Coal Mine,Appalachian Resource,Appalachian Resource,USA,37.74994,-82.198688,100000131277,100000131277,100.0,100.0,{14262},{14262},5,49:34.1
4952,3164655,CCU Belmont Strip Coal Mine,CCU Coal and Construction,CCU Coal and Construction,USA,40.065495,-81.09391,100000131452,100000131452,100.0,100.0,{14268},{14268},687,49:34.1
4953,16408,CCU Harrison Strip Mine,Ramaco Resources,Ramaco Resources,USA,40.271122,-81.073783,100000132107,100000132107,100.0,100.0,{14269},{14269},26,49:34.0
4954,16409,CCU Sexton Strip Mine,CCU Coal and Construction,CCU Coal and Construction,USA,40.216548,-81.006113,100000131452,100000131452,100.0,100.0,{14270},{14270},687,49:34.0
4955,3164658,CCU Tuscarawas Strip Mine,CCU Coal and Construction,CCU Coal and Construction,USA,40.401944,-81.563056,100000131452,100000131452,100.0,100.0,{14271},{14271},687,49:34.1
4956,3164663,CHM 48 Coal Mine,Contract Highwall Mining,Contract Highwall Mining,USA,36.816667,-84.065,100000131515,100000131515,100.0,100.0,{14275},{14275},700,49:34.1
4957,3164686,CV#37 Auger Miner,Civil,Civil,USA,37.271389,-82.168056,100000131493,100000131493,100.0,100.0,{14296},{14296},89,49:34.1
4958,3164687,CV#4 Surface Mine,Civil,Civil,USA,37.950833,-81.664444,100000131493,100000131493,100.0,100.0,{14297},{14297},89,49:34.1
4959,3164688,CV30 Mine,Civil,Civil,USA,37.227778,-81.550556,100000131493,100000131493,100.0,100.0,{14298},{14298},89,49:34.1
4960,3164689,CVB No. 1 Coal Mine,Rex Coal,Rex Coal,USA,36.958056,-83.038611,100000132127,100000132127,100.0,100.0,{14299},{14299},325,49:34.1
4961,16407,Caballo Coal Mine,Peabody Caballo Mining,Peabody Energy,USA,44.1513,-105.3981,100001000402,100001000889,100.0,100.0,{14259},"{5897,5906,14259}",7204,49:34.0
4962,3164646,Cabin Run Coal Mine,Heritage Coal & Natural Resources,Heritage Coal & Natural Resources,USA,39.613611,-78.918333,100000131669,100000131669,100.0,100.0,{14260},{14260},16,49:34.1
4963,3164648,Calvert Coal Mine,Black Walnut Mining,Black Walnut Mining,USA,31.087575,-96.618166,100000131397,100000131397,100.0,100.0,{14261},{14261},23,49:34.1
4964,3164650,Carbon Hill Mine,Clas Coal,Clas Coal,USA,33.886934,-87.547895,100000131495,100000131495,100.0,100.0,{14263},{14263},10,49:34.1
4965,3164651,Cardinal Coal Mine,Warrior Coal,other,USA,37.345471,-87.578767,100000001753,100001010054,0.01,100.0,{14264},"{6479,14264}",194,49:34.1
4966,3164652,Caretta #3 Coal Mine,RS Mining,RS Mining,USA,37.32,-81.68000031,100000132100,100000132100,100.0,100.0,{14265},{14265},53,49:34.1
4967,3164653,Carlos Surface Coal Mine,Heritage Coal & Natural Resources,Heritage Coal & Natural Resources,USA,39.62069,-78.96863,100000131669,100000131669,100.0,100.0,{14266},{14266},16,49:34.1
4968,3164654,Casselman Coal Mine,Corsa Coal,Corsa Coal,USA,39.657406,-79.202182,100000131519,100000131519,81.0,81.0,{14267},{14267},142,49:34.1
4969,3164654,Casselman Coal Mine,Quintana Capital Group,Quintana Capital Group,USA,39.657406,-79.202182,100000132092,100000132092,19.0,19.0,{14267},{14267},25,49:34.1
4970,16410,Cedar Grove #2 Coal Mine,Aracoma Coal,Alpha Metallurgical Resources,USA,37.80423,-82.084989,100000131246,100000131280,100.0,100.0,{14272},{14272},4139,49:34.0
4971,3164661,Century Coal Mine,Belmont County Coal Resources,American Consolidated Natural Resources,USA,39.89,-81.02,100001010138,100001010149,100.0,100.0,{14273},"{6392,14273}",190,49:34.1
