,country,year,gas,emissions_quantity tonnes
267,AND,2020,co2e_100yr,0.0
268,AND,2020,co2e_20yr,0.0
269,AND,2020,n2o,0.0
270,AND,2021,ch4,0.0
271,AND,2021,co2,0.0
272,AND,2021,co2e_100yr,0.0
273,AND,2021,co2e_20yr,0.0
274,AND,2021,n2o,0.0
275,AND,2022,ch4,0.0
276,AND,2022,co2,0.0
277,AND,2022,co2e_100yr,0.0
278,AND,2022,co2e_20yr,0.0
279,AND,2022,n2o,0.0
280,ARE,2015,ch4,0.0
281,ARE,2015,co2,0.0
282,ARE,2015,co2e_100yr,0.0
283,ARE,2015,co2e_20yr,0.0
284,ARE,2015,n2o,0.0
285,ARE,2016,ch4,0.0
286,ARE,2016,co2,0.0
287,ARE,2016,co2e_100yr,0.0
288,ARE,2016,co2e_20yr,0.0
289,ARE,2016,n2o,0.0
290,ARE,2017,ch4,0.0
291,ARE,2017,co2,0.0
292,ARE,2017,co2e_100yr,0.0
293,ARE,2017,co2e_20yr,0.0
294,ARE,2017,n2o,0.0
295,ARE,2018,ch4,0.0
296,ARE,2018,co2,0.0
297,ARE,2018,co2e_100yr,0.0
298,ARE,2018,co2e_20yr,0.0
299,ARE,2018,n2o,0.0
300,ARE,2019,ch4,0.0
301,ARE,2019,co2,0.0
302,ARE,2019,co2e_100yr,0.0
303,ARE,2019,co2e_20yr,0.0
304,ARE,2019,n2o,0.0
305,ARE,2020,ch4,0.0
306,ARE,2020,co2,0.0
307,ARE,2020,co2e_100yr,0.0
308,ARE,2020,co2e_20yr,0.0
309,ARE,2020,n2o,0.0
310,ARE,2021,ch4,0.0
311,ARE,2021,co2,0.0
312,ARE,2021,co2e_100yr,0.0
313,ARE,2021,co2e_20yr,0.0
314,ARE,2021,n2o,0.0
315,ARE,2022,ch4,0.0
316,ARE,2022,co2,0.0
317,ARE,2022,co2e_100yr,0.0
318,ARE,2022,co2e_20yr,0.0
319,ARE,2022,n2o,0.0
320,ARG,2015,ch4,353.4992858600286
321,ARG,2015,co2,0.0
322,ARG,2015,co2e_100yr,9897.9800040808
323,ARG,2015,co2e_20yr,29693.9400122424
324,ARG,2015,n2o,0.0
325,ARG,2016,ch4,353.4992858600286
326,ARG,2016,co2,0.0
327,ARG,2016,co2e_100yr,9897.9800040808
328,ARG,2016,co2e_20yr,29693.9400122424
329,ARG,2016,n2o,0.0
330,ARG,2017,ch4,353.4992858600286
331,ARG,2017,co2,0.0
332,ARG,2017,co2e_100yr,9897.9800040808
333,ARG,2017,co2e_20yr,29693.9400122424
334,ARG,2017,n2o,0.0
335,ARG,2018,ch4,353.4992858600286
336,ARG,2018,co2,0.0
337,ARG,2018,co2e_100yr,9897.9800040808
338,ARG,2018,co2e_20yr,29693.9400122424
339,ARG,2018,n2o,0.0
340,ARG,2019,ch4,353.4992858600286
341,ARG,2019,co2,0.0
342,ARG,2019,co2e_100yr,9897.9800040808
343,ARG,2019,co2e_20yr,29693.9400122424
344,ARG,2019,n2o,0.0
345,ARG,2020,ch4,353.4992858600286
346,ARG,2020,co2,0.0
347,ARG,2020,co2e_100yr,9897.9800040808
348,ARG,2020,co2e_20yr,29693.9400122424
349,ARG,2020,n2o,0.0
350,ARG,2021,ch4,353.4992858600286
351,ARG,2021,co2,0.0
352,ARG,2021,co2e_100yr,9897.9800040808
353,ARG,2021,co2e_20yr,29693.9400122424
354,ARG,2021,n2o,0.0
355,ARG,2022,ch4,353.4992858600286
356,ARG,2022,co2,0.0
357,ARG,2022,co2e_100yr,9897.9800040808
358,ARG,2022,co2e_20yr,29693.9400122424
359,ARG,2022,n2o,0.0
360,ARM,2015,ch4,0.0
361,ARM,2015,co2,0.0
362,ARM,2015,co2e_100yr,0.0
363,ARM,2015,co2e_20yr,0.0
364,ARM,2015,n2o,0.0
365,ARM,2016,ch4,0.0
366,ARM,2016,co2,0.0
367,ARM,2016,co2e_100yr,0.0
368,ARM,2016,co2e_20yr,0.0
369,ARM,2016,n2o,0.0
370,ARM,2017,ch4,0.0
371,ARM,2017,co2,0.0
372,ARM,2017,co2e_100yr,0.0
373,ARM,2017,co2e_20yr,0.0
374,ARM,2017,n2o,0.0
375,ARM,2018,ch4,0.0
376,ARM,2018,co2,0.0
377,ARM,2018,co2e_100yr,0.0
378,ARM,2018,co2e_20yr,0.0
379,ARM,2018,n2o,0.0
380,ARM,2019,ch4,0.0
381,ARM,2019,co2,0.0
382,ARM,2019,co2e_100yr,0.0
383,ARM,2019,co2e_20yr,0.0
384,ARM,2019,n2o,0.0
385,ARM,2020,ch4,0.0
386,ARM,2020,co2,0.0
387,ARM,2020,co2e_100yr,0.0
388,ARM,2020,co2e_20yr,0.0
389,ARM,2020,n2o,0.0
390,ARM,2021,ch4,0.0
391,ARM,2021,co2,0.0
392,ARM,2021,co2e_100yr,0.0
393,ARM,2021,co2e_20yr,0.0
394,ARM,2021,n2o,0.0
395,ARM,2022,ch4,0.0
396,ARM,2022,co2,0.0
397,ARM,2022,co2e_100yr,0.0
398,ARM,2022,co2e_20yr,0.0
399,ARM,2022,n2o,0.0
400,ASM,2015,ch4,0.0
401,ASM,2015,co2,0.0
402,ASM,2015,co2e_100yr,0.0
403,ASM,2015,co2e_20yr,0.0
404,ASM,2015,n2o,0.0
405,ASM,2016,ch4,0.0
406,ASM,2016,co2,0.0
407,ASM,2016,co2e_100yr,0.0
408,ASM,2016,co2e_20yr,0.0
